JobName,NumberOfBuilds,Successful,Failed,Aborted
Dev-aks-application-restore-from-backup,0,0,0,0
Dev-analysis-test,0,0,0,0
Dev-AonA-OES-UI-Build,8,5,1,2
Dev-apijar-testresult-master-stats,0,0,0,0
Dev-apijar-testresult-stats,0,0,0,0
Dev-application-redis-minio-oesdb-restore-from-GitHub-Job1,0,0,0,0
Dev-application-redis-minio-oesdb-restore-from-GitHub-Job2,0,0,0,0
Dev-application-redis-minio-restore,0,0,0,0
Dev-Approval-test,0,0,0,0
Dev-arraytest,0,0,0,0
Dev-audit-client-build-branch,42,39,3,0
Dev-Audit-client-publish-image,1,1,0,0
Dev-auditservice-build-branch,38,36,1,1
Dev-audit-service-jpa,48,47,1,0
Dev-AuditService-publish-image,1,1,0,0
Dev-autopilot-11-build-branch,0,0,0,0
Dev-AutoPilot-Baselinebuild,0,0,0,0
Dev-autopilot-build-branch-ds-ms,33,26,4,3
Dev-AutoPilot-Canarybuild,0,0,0,0
Dev-Autopilot-Sonar,1,1,0,0
Dev-Autopilot_Test-AonA,0,0,0,0
Dev-Autopilot_Test_PR_New,19,19,0,0
Dev-aws-scale-cluster,0,0,0,0
Dev-Azure-reports-generation,5,5,0,0
Dev-Baseline-Canary-Logs,0,0,0,0
Dev-build-analytics-master,8,6,0,2
Dev-build-auditclient-master,6,5,0,1
Dev-build-auditservice-master,4,4,0,0
Dev-build-commongate-branch,37,36,1,0
Dev-build-commongate-master,5,3,0,2
Dev-build-dashboard-master,6,6,0,0
Dev-build-datascience-master,8,8,0,0
Dev-build-oes-api-master,7,7,0,0
Dev-build-platform-master,19,7,11,1
Dev-build-visibility-master,5,4,1,0
Dev-config-data-bkp,5,5,0,0
Dev-create-GCP-cluster,0,0,0,0
Dev-Custom-plugin-build-release,0,0,0,0
Dev-custom-plugin-release,0,0,0,0
Dev-custom-resize-gcp-cluster,0,0,0,0
Dev-custom-stop-cluster,4,4,0,0
Dev-dashboardservice-build-branch,11,9,2,0
Dev-dashboardservice-build-branch-vault,18,17,1,0
Dev-datascience-publish-image,1,1,0,0
Dev-DATASCIENCE_TEST_PR,23,23,0,0
Dev-Datasource-plugin-api,0,0,0,0
Dev-deallocate-albertson,7,0,7,0
Dev-deallocate-production-spin,0,0,0,0
Dev-Delete-Evicted-pods,4,4,0,0
Dev-demo,0,0,0,0
Dev-Deploy_Cloud,0,0,0,0
Dev-docker-pipeline,0,0,0,0
Dev-Do-Nothing,0,0,0,0
Dev-ds-build-branch-ds-ms,33,32,1,0
Dev-Email-Report,0,0,0,0
Dev-front50-build-image,0,0,0,0
Dev-gate-image-with-plugins,0,0,0,0
Dev-gate-job-pranav,0,0,0,0
Dev-gcp-scale-down,5,5,0,0
Dev-gcp-scale-up,3,3,0,0
Dev-get-Jira-stats,0,0,0,0
Dev-harbor-clean-images,0,0,0,0
Dev-harborpush-images,0,0,0,0
Dev-ibm-AonA-Stop,5,5,0,0
Dev-ibm-staging-stop,5,5,0,0
Dev-ibm-target-start,5,5,0,0
Dev-ibm-target-stop,5,5,0,0
Dev-jenkins-anlysis,0,0,0,0
Dev-JenkinsDiskClean,4,4,0,0
Dev-jenkins-Log-Metric-Anlysis,0,0,0,0
Dev-Jenkins-success-failure-stats,7,7,0,0
Dev-jenkins-trigger-pipeline,0,0,0,0
Dev-kube-roles,0,0,0,0
Dev-mail-3.0,9,6,3,0
Dev-maven,0,0,0,0
Dev-michael-autopilot-build-branch,12,11,1,0
Dev-michael-autopilot-build-tag,1,1,0,0
Dev-nexus-restapp,0,0,0,0
Dev-OES-Dasboard-Sonar,0,0,0,0
Dev-oes-dashboard-publish-image,1,1,0,0
Dev-oes-gate-publish-image,1,1,0,0
Dev-OES-Gate-Sonar,0,0,0,0
Dev-OES-Perf-Testing-Logs,4,0,4,0
Dev-oes-platform-publish-image,3,2,1,0
Dev-OES-Platform-Sonar,0,0,0,0
Dev-oes-sapor-publish-image,1,1,0,0
Dev-OES-Sapor-Sonar,0,0,0,0
Dev-OES-Spinnaker-DBs-Reset,5,4,1,0
Dev-Oes-Test,1,1,0,0
Dev-Oes-UI-build,0,0,0,0
Dev-OES-UI-Sonar,0,0,0,0
Dev-Oes-UI-Test,0,0,0,0
Dev-oes-visibility-publish-image,1,1,0,0
Dev-OES-Visibility-Sonar,0,0,0,0
Dev-OES-Visibility-Sonar-branch,0,0,0,0
Dev-opsmxsaas-application-backup,8,6,2,0
Dev-OpsMx-SAAS-SPINNAKER-OES-Backup,8,5,3,0
Dev-orca-image-with-plugins,0,0,0,0
Dev-platformservice-build,9,9,0,0
Dev-platformservice-build-branch,20,16,1,3
Dev-platformservice-build-branch-vault,18,18,0,0
Dev-PR_dorebase,28,28,0,0
Dev-PROD-OES-UI-publish-image-UI-Versions,1,1,0,0
Dev-Production-SPINNAKER-OES-Backup,7,7,0,0
Dev-pspin-application-pipeline-restore-from-backup,0,0,0,0
Dev-RC-Audit-client-build,4,2,2,0
Dev-RC-AuditService-build,10,3,7,0
Dev-RC-autopilot-build-tag,2,2,0,0
Dev-RC-Common-Gate-publish-image,3,3,0,0
Dev-RC-dashboard-publish-image,3,2,1,0
Dev-RC-datascience-build-tag,3,2,1,0
Dev-RC-platform-publish-image,3,2,0,1
Dev-RC-sapor-publish-image,2,2,0,0
Dev-RC-ui-publish-image-UI-Versions,2,2,0,0
Dev-RC-visibility-publish-image,2,2,0,0
Dev-reports,0,0,0,0
Dev-RestApp_Build,2,2,0,0
Dev-Restapp-Build-Branch,0,0,0,0
Dev-Restapp-Build-Branch-Sonar,0,0,0,0
Dev-Restapp-GCP-Pipeline,0,0,0,0
Dev-Restapp-Jfrog-pipeline,0,0,0,0
Dev-Restapp-Jfrog-sonar,0,0,0,0
Dev-robin-buildRun-using-docker,0,0,0,0
Dev-run-master-test-cases-nightly,3,3,0,0
Dev-run-tests-on-baseline-aonaPipeline,7,7,0,0
Dev-run-tests-on-canary-aonaPipeline,7,7,0,0
Dev-run-tests-on-gcp-staging-qa,0,0,0,0
Dev-run-tests-on-gitpr-parallel,60,55,0,5
Dev-run-tests-on-ibm-gitpr-parallel,0,0,0,0
Dev-run-tests-on-release-qa,0,0,0,0
Dev-run-tests-on-staging,8,8,0,0
Dev-run-tests-staging-qa,0,0,0,0
Dev-sa-kube-generate,0,0,0,0
Dev-sapor-build-branch,18,15,1,2
Dev-secrets-management-plugin,2,2,0,0
Dev-sessionid-oes-3.x,0,0,0,0
Dev-sessionid-oes-contextual-3.x,0,0,0,0
Dev-start-albertson,0,0,0,0
Dev-start-cluster,0,0,0,0
Dev-start-EFK-cluster,0,0,0,0
Dev-start-production-spin,5,5,0,0
Dev-stats,0,0,0,0
Dev-Stop-AKS-resource,0,0,0,0
Dev-testoesdb,0,0,0,0
Dev-Test-PR-Build-alltests,1,1,0,0
Dev-Test-PR-Build-parallel,19,19,0,0
Dev-Test_PR-oes-api,8,8,0,0
Dev-Test_PR-oes-ui,18,17,1,0
Dev-testruns-release,0,0,0,0
Dev-test-Saas-Restroe,0,0,0,0
Dev-ui-master-build,5,3,0,2
Dev-visibilityservice-build-branch,9,9,0,0
Dev-visibilityservice-build-branch-vault,25,24,1,0
